"source_database","labnr","bp","std","cal_bp","cal_std","delta_c13","lab_name","site","site_phase","site_type","feature","feature_type","periods","typochronological_units","ecochronological_units","material","species","country","lat","lng","references"
"radonb","KN-2204","2690","50","2800","76","","","Anzing","Anzing","Grave","","","","Early Bronze Age","","","","Germany                                                                                             ","48.151400000000002","11.8536",""
"radonb","ETH-61972","2933","28","3090","89","","","Ramosch-Mottata","Ramosch-Mottata","settlement","RMO14","","","Bronze Age","","dentin","tooth, cattle (Bos taurus)","Switzerland                                                                                         ","46.835000000000001","10.366400000000001",""
"radonb","ETH-61966","2867","28","2985","88","","","Ramosch-Mottata","Ramosch-Mottata","settlement","RMO6","","","Bronze Age","","collagen, bone","bone cattle (Bos taurus)","Switzerland                                                                                         ","46.835000000000001","10.366400000000001",""
"radonb","ETH-61965","2845","28","2950","85","","","Ramosch-Mottata","Ramosch-Mottata","settlement","RMO5","","","Bronze Age","","collagen, bone","bone cattle (Bos taurus)","Switzerland                                                                                         ","46.835000000000001","10.366400000000001",""
"radonb","Bln-2987","","","","","","","Blučina","Blučina","","","","Věteřov Group | klassisches Aunjetitz","Únětice | Early Bronze Age","","","","Czech Republic                                                                                      ","49.055","16.6465",""
"radonb","Bln-2989","","","","","","","Blučina","Blučina","","","","Věteřov Group | klassisches Aunjetitz","Únětice | Early Bronze Age","","","","Czech Republic                                                                                      ","49.055","16.6465",""
"radonb","Bln-1538","","","","","","","Böheimkirchen","Böheimkirchen","","","","Boheimkirchen | Věteřov Group","Early Bronze Age","","","","Austria                                                                                             ","48.200000000000003","15.75",""
"radonb","Bln-3735","","","","","","","Buhuberg","Buhuberg","","","","Věteřov Group","Early Bronze Age | Únětice","","","","Austria                                                                                             ","48.444099999999999","16.846499999999999",""
"radonb","Bln-3211","","","","","","","Buhuberg","Buhuberg","","","","Věteřov Group","Early Bronze Age | Únětice","","","","Austria                                                                                             ","48.444099999999999","16.846499999999999",""
"radonb","Bln-3738","","","","","","","Buhuberg","Buhuberg","","","","Věteřov Group","Early Bronze Age | Únětice","","","","Austria                                                                                             ","48.444099999999999","16.846499999999999",""
"radonb","Lv-88","2680","150","2794","400","","","Champreveyres","Champreveyres","settlement","Pfahlbauten","","","","","wood","Holz","Switzerland                                                                                         ","47.018300000000004","6.9706000000000001",""
